template,action
客戶意願確認轉真人服務類,進入主流程區
客戶意願確認轉真人服務類,前往指定區塊
客戶意願確認轉真人服務類,再聽一次（重複本區塊）
客戶意願確認轉真人服務類,轉真人
客戶意願確認轉真人服務類,轉inbound
客戶意願確認轉真人服務類,APP推播
客戶意願確認轉真人服務類,EMAIL
客戶意願確認轉真人服務類,LINE
客戶意願確認轉真人服務類,SMS
客戶意願確認轉真人服務類,再聯絡
客戶意願確認轉真人服務類,結束通話（送出以下結束台詞）
滿意度類,進入問卷（主流程）
滿意度類,前往指定區塊
滿意度類,再聽一次（重複本區塊）
滿意度類,轉真人
滿意度類,轉inbound
滿意度類,APP推播
滿意度類,EMAIL
滿意度類,LINE
滿意度類,SMS
滿意度類,再聯絡
滿意度類,結束通話（送出以下結束台詞）
業務資訊通知類,播放通知內容（主流程）
業務資訊通知類,再聽一次（重複本區塊）
業務資訊通知類,轉真人
業務資訊通知類,轉inbound
業務資訊通知類,APP推播
業務資訊通知類,EMAIL
業務資訊通知類,LINE
業務資訊通知類,SMS
業務資訊通知類,再聯絡
業務資訊通知類,結束通話（送出以下結束台詞）
