contact,type,result
本人,自行變更,自行變更
本人,完成通知,完成通知
本人,無法確認理專,無法確認理專
本人,本人接聽,資料正確無誤
本人,客戶抱怨,客戶抱怨
本人,本人接聽,無意願接受訪談
本人,本人接聽,忙碌中，再聯絡
本人,自行查詢,自行查詢
本人,本人接聽,完成問卷
本人,本人接聽,未完成問卷（一題未給分)
本人,聽不懂轉真人(意願確認),聽不懂轉真人(確認身分)
本人,聽不懂轉真人(意願確認),聽不懂轉真人(意願確認)
本人,轉真人,轉真人
本人,沒有興趣,沒有興趣
本人,鍵檔錯誤，要求更改,鍵檔錯誤，要求更改
本人,取消電子帳單申請,取消電子帳單申請
本人,客戶要求線上變更,客戶要求線上變更
本人,重寄,重寄
本人,要求註銷,要求註銷
本人,自行查詢,自行查詢
本人,自行來電處理,自行來電處理
本人,完成回撥,完成回撥
本人,已達免年費標準,已達免年費標準
本人,通知負責人,通知負責人
本人,通知會計人員,通知會計人員
本人,外國人,外國人
本人,尚未接觸的名單，惟已達問卷數,尚未接觸的名單，惟已達問卷數
本人,65歲以上不宜電訪,65歲以上不宜電訪
本人,溢繳款退回本行帳戶,溢繳款退回本行帳戶
本人,溢繳款退回他行帳戶,溢繳款退回他行帳戶
本人,已繳款,已繳款
本人,已聯絡,已聯絡
本人,未表示,未表示
本人,習慣一次繳清,習慣一次繳清
本人,已申請帳務調整,已申請帳務調整
本人,本人,E-mail申請書
本人,本人,簡訊寄送申請連結
本人,本人,無意願申辦
非本人,查無此人,查無此人
非本人,非本人接聽,非本人接聽
非本人,三次聯絡不到,三次聯絡不到
非本人,無人接聽,無人接聽
非本人,無效電話,無效電話
非本人,客戶自行掛斷,客戶自行掛斷
非本人,重複件,重複件
非本人,非有效卡,非有效卡
